Question,Participant,Response
Q37.3_First Click,3,17.343
Q37.3_Last Click,3,73.566
Q37.3_Page Submit,3,74.9
Q38.1,3,C. Increased survival rates of released individuals
Q38.2,3,https://conservationevidence.com/actions/2924
Q38.3_Click Count,3,5
Q38.3_First Click,3,14.949
Q38.3_Last Click,3,38.006
Q38.3_Page Submit,3,38.34
Q39.1,3,D. Increase in shrub abundance or cover
Q39.2,3,https://conservationevidence.com/actions/1607
Q39.3_Click Count,3,13
Q39.3_First Click,3,5.309
Q39.3_Last Click,3,136.234
Q39.3_Page Submit,3,137.479
Q4.1,3,B. Completely excluding off-road vehicles and livestock grazing using fencing
Q4.2,3,https://conservationevidence.com/actions/3498
Q4.3_Click Count,3,9
Q4.3_First Click,3,3.051
Q4.3_Last Click,3,65.04
Q4.3_Page Submit,3,66.494
Q40.1,3,B. Reduced basal area of trees
Q40.2,3,https://conservationevidence.com/actions/1722
Q40.3_Click Count,3,2
Q40.3_First Click,3,132.795
Q40.3_Last Click,3,135.562
Q40.3_Page Submit,3,149.956
Q41.1,3,B. Increased combined macroalgae and invertebrate species diversity
Q41.2,3,https://conservationevidence.com/actions/3448
Q41.3_Click Count,3,7
Q41.3_First Click,3,22.654
Q41.3_Last Click,3,99.207
Q41.3_Page Submit,3,100.196
Q42.1,3,A. Increased activity levels and tool use
Q42.2,3,https://conservationevidence.com/actions/1320
Q42.3_Click Count,3,6
Q42.3_First Click,3,21.517
Q42.3_Last Click,3,30.846
Q42.3_Page Submit,3,33.48
Q43.1,3,B. Increased weed abundance
Q43.2,3,https://conservationevidence.com/actions/1399
Q43.3_Click Count,3,12
Q43.3_First Click,3,606.617
Q43.3_Last Click,3,762.541
Q43.3_Page Submit,3,763.409
Q44.1,3,"C. The effectiveness of traditional orchards for bird conservation is currently unknown, with limited evidence showing no clear benefits"
Q44.2,3,https://conservationevidence.com/actions/240
Q44.3_Click Count,3,4
Q44.3_First Click,3,4.533
Q44.3_Last Click,3,79.865
Q44.3_Page Submit,3,82.598
Q45.1,3,C. Planting patches of native flowering plants within orchards
Q45.2,3,https://conservationevidence.com/actions/17
Q45.3_Click Count,3,10
Q45.3_First Click,3,21.624
Q45.3_Last Click,3,159.7
Q45.3_Page Submit,3,175.481
Q46.1,3,A. Retaining forested corridors with emphasis on their edge habitats
Q46.2,3,https://www.conservationevidence.com/actions/996
Q46.3_Click Count,3,
Q46.3_First Click,3,
Q46.3_Last Click,3,
Q46.3_Page Submit,3,
Q47.1,3,C. The devices were ineffective in deterring any of the studied species from roads
Q47.2,3,https://www.conservationevidence.com/actions/2606
Q47.3_Click Count,3,
Q47.3_First Click,3,
Q47.3_Last Click,3,
Q47.3_Page Submit,3,
Q48.1,3,B. Enhancing physical barriers around bomas
Q48.2,3,https://conservationevidence.com/synopsis/pdf/20
Q48.3_Click Count,3,8
Q48.3_First Click,3,7.116
Q48.3_Last Click,3,219.436
Q48.3_Page Submit,3,225.195
Q5.1,3,D. Increased mobile invertebrate abundance on structure surfaces
Q5.2,3,https://conservationevidence.com/actions/3468
Q5.3_Click Count,3,7
Q5.3_First Click,3,8.738
Q5.3_Last Click,3,75.944
Q5.3_Page Submit,3,79.487
Q6.1,3,B. Colonization by macroalgae and limpets
Q6.2,3,https://conservationevidence.com/actions/3435
Q6.3_Click Count,3,6
Q6.3_First Click,3,2.236
Q6.3_Last Click,3,49.812
Q6.3_Page Submit,3,51.273
Q7.1,3,A. Higher plant species richness
Q7.2,3,https://conservationevidence.com/actions/3400
Q7.3_Click Count,3,8
Q7.3_First Click,3,3.95
Q7.3_Last Click,3,65.372
Q7.3_Page Submit,3,65.632
Q8.1,3,B. Maintain the vegetation as scrub
Q8.2,3,https://conservationevidence.com/actions/31
Q8.3_Click Count,3,7
Q8.3_First Click,3,7.752
Q8.3_Last Click,3,61.04
Q8.3_Page Submit,3,62.454
Q9.1,3,B. Decreased plant species richness
Q9.2,3,https://conservationevidence.com/actions/3199
Q9.3_Click Count,3,10
Q9.3_First Click,3,3.385
Q9.3_Last Click,3,88.321
Q9.3_Page Submit,3,89.478
Q10.1,4,D. Increasing mesh size in multiple types of fishing gear
Q10.2,4,https://www.conservationevidence.com/actions/2697
Q10.3_Click Count,4,3
Q10.3_First Click,4,751.413
Q10.3_Last Click,4,1010.57
Q10.3_Page Submit,4,1012.218
Q11.1,4,A. Reduced catch of non-commercial invertebrates
Q11.2,4,https://www.conservationevidence.com/actions/2131
Q11.3_Click Count,4,5
Q11.3_First Click,4,5.332
Q11.3_Last Click,4,49.413
Q11.3_Page Submit,4,50.512
Q12.1,4,B. Higher invertebrate abundance
Q12.2,4,https://www.conservationevidence.com/actions/2071
Q12.3_Click Count,4,3
Q12.3_First Click,4,19.26
Q12.3_Last Click,4,126.382
Q12.3_Page Submit,4,127.483
Q13.1,4,C. More than 90% survival rate
Q13.2,4,https://www.conservationevidence.com/actions/1818
Q13.3_Click Count,4,8
Q13.3_First Click,4,5.297
Q13.3_Last Click,4,88.562
Q13.3_Page Submit,4,90.054
Q14.1,4,C. Adopt a fallowing period of at least 16 weeks
Q14.2,4,https://www.conservationevidence.com/actions/1026
Q14.3_Click Count,4,4
Q14.3_First Click,4,12.775
Q14.3_Last Click,4,149.767
Q14.3_Page Submit,4,150.572
Q15.1,4,A. Monitoring parasitism rates to inform spraying decisions
Q15.2,4,https://www.conservationevidence.com/actions/726
Q15.3_Click Count,4,5
Q15.3_First Click,4,15.86
Q15.3_Last Click,4,386.194
Q15.3_Page Submit,4,387.464
Q16.1,4,B. Older plots have more birds and bird species
Q16.2,4,https://www.conservationevidence.com/actions/1416
Q16.3_Click Count,4,
Q16.3_First Click,4,
Q16.3_Last Click,4,
Q16.3_Page Submit,4,
Q17.1,4,B. It may reduce water runoff and increase water storage
Q17.2,4,https://www.conservationevidence.com/actions/907
Q17.3_Click Count,4,3
Q17.3_First Click,4,10.751
Q17.3_Last Click,4,82.026
Q17.3_Page Submit,4,85.79
Q18.1,4,B. Its effectiveness may vary depending on the species and local conditions
Q18.2,4,https://www.conservationevidence.com/actions/1519
Q18.3_Click Count,4,3
Q18.3_First Click,4,11.374
Q18.3_Last Click,4,117.567
Q18.3_Page Submit,4,118.856
Q19.1,4,"A. Mixed effects on density and height, with reduced survival"
Q19.2,4,https://www.conservationevidence.com/actions/3352
Q19.3_Click Count,4,
Q19.3_First Click,4,
Q19.3_Last Click,4,
Q19.3_Page Submit,4,
Q20.1,4,A. Stopping spraying and mowing increases northern pearl crescent abundance
Q20.2,4,https://www.conservationevidence.com/actions/3899
Q20.3_Click Count,4,4
Q20.3_First Click,4,8.519
Q20.3_Last Click,4,162.821
Q20.3_Page Submit,4,163.714
Q21.1,4,B. Flower patches may not increase bee populations in the wider landscape
Q21.2,4,https://www.conservationevidence.com/actions/17
Q21.3_Click Count,4,7
Q21.3_First Click,4,14.231
Q21.3_Last Click,4,192.542
Q21.3_Page Submit,4,194.815
Q22.1,4,D. The impacts of group-selection harvesting vary depending on specific forest characteristics and study locations
Q22.2,4,https://www.conservationevidence.com/actions/1224
Q22.3_Click Count,4,3
Q22.3_First Click,4,12.001
Q22.3_Last Click,4,80.678
Q22.3_Page Submit,4,81.642
Q23.1,4,A. Higher concentrations and higher temperatures
Q23.2,4,https://www.conservationevidence.com/actions/1118
Q23.3_Click Count,4,6
Q23.3_First Click,4,7.218
Q23.3_Last Click,4,104.686
Q23.3_Page Submit,4,114.693
Q24.1,4,C. Variable responses of different herb species
Q24.2,4,https://www.conservationevidence.com/actions/1779
Q24.3_Click Count,4,2
Q24.3_First Click,4,138.073
Q24.3_Last Click,4,149.651
Q24.3_Page Submit,4,151.735
Q25.1,4,A. Possible decrease in survival for some shark species
Q25.2,4,https://www.conservationevidence.com/actions/2699
Q25.3_Click Count,4,2
Q25.3_First Click,4,115.089
Q25.3_Last Click,4,142.771
Q25.3_Page Submit,4,144.064
Q26.1,4,B. It either reduces or does not alter the density of sown forb species
Q26.2,4,https://www.conservationevidence.com/actions/3433
Q26.3_Click Count,4,2
Q26.3_First Click,4,48.033
Q26.3_Last Click,4,53.796
Q26.3_Page Submit,4,54.943
Q27.1,4,D. Increased plant diversity and species richness
Q27.2,4,https://www.conservationevidence.com/actions/594
Q27.3_Click Count,4,4
Q27.3_First Click,4,17.86
Q27.3_Last Click,4,117.605
Q27.3_Page Submit,4,118.664
Q28.1,4,D. Increasing both electrical pulse duration and voltage
Q28.2,4,https://www.conservationevidence.com/actions/1074
Q28.3_Click Count,4,4
Q28.3_First Click,4,296.033
Q28.3_Last Click,4,334.522
Q28.3_Page Submit,4,335.889
Q29.1,4,B. Soap
Q29.2,4,https://www.conservationevidence.com/actions/3613
Q29.3_Click Count,4,3
Q29.3_First Click,4,70.992
Q29.3_Last Click,4,88.318
Q29.3_Page Submit,4,89.419
Q30.1,4,D. Variably effective depending on the species of cleaner wrasse
Q30.2,4,https://www.conservationevidence.com/actions/738
Q30.3_Click Count,4,4
Q30.3_First Click,4,30.013
Q30.3_Last Click,4,84.103
Q30.3_Page Submit,4,85.355
Q31.1,4,"A. Unknown effectiveness, with mixed results across studies"
Q31.2,4,https://www.conservationevidence.com/actions/1524
Q31.3_Click Count,4,5
Q31.3_First Click,4,2.01
Q31.3_Last Click,4,102.629
Q31.3_Page Submit,4,104.028
Q32.1,4,B. Leaving the headlands unfertilized
Q32.2,4,https://www.conservationevidence.com/actions/652
Q32.3_Click Count,4,6
Q32.3_First Click,4,7.129
Q32.3_Last Click,4,120.099
Q32.3_Page Submit,4,121.23
Q33.1,4,A. Increased understory biomass
Q33.2,4,https://www.conservationevidence.com/actions/1207
Q33.3_Click Count,4,4
Q33.3_First Click,4,10.622
Q33.3_Last Click,4,69.546
Q33.3_Page Submit,4,80.87
Q34.1,4,D. Creation of corridors for reptile movement and habitat connectivity
Q34.2,4,https://www.conservationevidence.com/actions/3586
Q34.3_Click Count,4,4
Q34.3_First Click,4,14.712
Q34.3_Last Click,4,115.527
Q34.3_Page Submit,4,128.278
Q35.1,4,A. Using shielded 'full cut-off' lights with blinds
Q35.2,4,https://www.conservationevidence.com/actions/3904
Q35.3_Click Count,4,5
Q35.3_First Click,4,10.579
Q35.3_Last Click,4,309.14
Q35.3_Page Submit,4,311.038
Q36.1,4,A. Guaranteed waste consumption by all bivalve species
Q36.2,4,https://www.conservationevidence.com/actions/932
Q36.3_Click Count,4,9
Q36.3_First Click,4,13.525
Q36.3_Last Click,4,86.896
Q36.3_Page Submit,4,88.3
Q37.1,4,D. Increase in Sphagnum moss cover
Q37.2,4,https://www.conservationevidence.com/actions/1779
Q37.3_Click Count,4,3
Q37.3_First Click,4,55.898
Q37.3_Last Click,4,61.993
Q37.3_Page Submit,4,73.948
Q38.1,4,C. Increased survival rates of released individuals
Q38.2,4,https://www.conservationevidence.com/actions/2924
Q38.3_Click Count,4,12
Q38.3_First Click,4,4.885
Q38.3_Last Click,4,345.145
Q38.3_Page Submit,4,346.475
Q39.1,4,D. Increase in shrub abundance or cover
Q39.2,4,https://www.conservationevidence.com/actions/1607
Q39.3_Click Count,4,4
Q39.3_First Click,4,117.424
Q39.3_Last Click,4,3340.867
Q39.3_Page Submit,4,3341.76
Q4.1,4,B. Completely excluding off-road vehicles and livestock grazing using fencing
Q4.2,4,https://www.conservationevidence.com/actions/3502
Q4.3_Click Count,4,4
Q4.3_First Click,4,20.663
Q4.3_Last Click,4,106.449
Q4.3_Page Submit,4,107.85
Q40.1,4,B. Reduced basal area of trees
Q40.2,4,https://www.conservationevidence.com/actions/1722
Q40.3_Click Count,4,4
Q40.3_First Click,4,12.786
Q40.3_Last Click,4,90.211
Q40.3_Page Submit,4,90.537
Q41.1,4,B. Increased combined macroalgae and invertebrate species diversity
Q41.2,4,https://www.conservationevidence.com/actions/3448
Q41.3_Click Count,4,5
Q41.3_First Click,4,66.45
Q41.3_Last Click,4,168.014
Q41.3_Page Submit,4,169.834
Q42.1,4,A. Increased activity levels and tool use
Q42.2,4,https://www.conservationevidence.com/actions/1320
Q42.3_Click Count,4,
Q42.3_First Click,4,
Q42.3_Last Click,4,
Q42.3_Page Submit,4,
Q43.1,4,B. Increased weed abundance
Q43.2,4,https://www.conservationevidence.com/actions/126
Q43.3_Click Count,4,7
Q43.3_First Click,4,1442.14
Q43.3_Last Click,4,1795.731
Q43.3_Page Submit,4,1796.997
Q44.1,4,"C. The effectiveness of traditional orchards for bird conservation is currently unknown, with limited evidence showing no clear benefits"
Q44.2,4,https://www.conservationevidence.com/actions/240
Q44.3_Click Count,4,7
Q44.3_First Click,4,16.509
Q44.3_Last Click,4,562.893
Q44.3_Page Submit,4,564.329
Q45.1,4,C. Planting patches of native flowering plants within orchards
Q45.2,4,https://www.conservationevidence.com/actions/17
Q45.3_Click Count,4,4
Q45.3_First Click,4,11.647
Q45.3_Last Click,4,330.414
Q45.3_Page Submit,4,331.821
Q46.1,4,A. Retaining forested corridors with emphasis on their edge habitats
Q46.2,4,https://www.conservationevidence.com/actions/996
Q46.3_Click Count,4,2
Q46.3_First Click,4,124.063
Q46.3_Last Click,4,131.136
Q46.3_Page Submit,4,132.304
Q47.1,4,C. The devices were ineffective in deterring any of the studied species from roads
Q47.2,4,https://www.conservationevidence.com/actions/2606
Q47.3_Click Count,4,6
Q47.3_First Click,4,28.376
Q47.3_Last Click,4,88.623
Q47.3_Page Submit,4,90.056
Q48.1,4,B. Enhancing physical barriers around bomas
Q48.2,4,https://www.conservationevidence.com/actions/2415 and https://www.conservationevidence.com/actions/2417
Q48.3_Click Count,4,3
Q48.3_First Click,4,343.4
Q48.3_Last Click,4,350.282
Q48.3_Page Submit,4,354.681
Q5.1,4,D. Increased mobile invertebrate abundance on structure surfaces
Q5.2,4,https://www.conservationevidence.com/actions/3468
Q5.3_Click Count,4,5
Q5.3_First Click,4,7.688
Q5.3_Last Click,4,410.898
Q5.3_Page Submit,4,415.714
Q6.1,4,B. Colonization by macroalgae and limpets
Q6.2,4,https://www.conservationevidence.com/actions/3435
Q6.3_Click Count,4,5
Q6.3_First Click,4,13.38
Q6.3_Last Click,4,111.984
Q6.3_Page Submit,4,113.779
Q7.1,4,A. Higher plant species richness
Q7.2,4,https://www.conservationevidence.com/actions/3400
Q7.3_Click Count,4,
Q7.3_First Click,4,
Q7.3_Last Click,4,
Q7.3_Page Submit,4,
Q8.1,4,B. Maintain the vegetation as scrub
Q8.2,4,https://www.conservationevidence.com/actions/31
Q8.3_Click Count,4,3
Q8.3_First Click,4,8.2
Q8.3_Last Click,4,79.364
Q8.3_Page Submit,4,80.665
Q9.1,4,D. Increased plant species richness
Q9.2,4,https://www.conservationevidence.com/actions/3027
Q9.3_Click Count,4,2
Q9.3_First Click,4,108.204
Q9.3_Last Click,4,112.255
Q9.3_Page Submit,4,113.614
Q10.1,5,D. Increasing mesh size in multiple types of fishing gear
Q10.2,5,https://www.conservationevidence.com/actions/2697
Q10.3_Click Count,5,3
Q10.3_First Click,5,1198.358
Q10.3_Last Click,5,1202.81
Q10.3_Page Submit,5,1203.55
Q11.1,5,A. Reduced catch of non-commercial invertebrates
Q11.2,5,https://www.conservationevidence.com/actions/2131
Q11.3_Click Count,5,2
Q11.3_First Click,5,155.809
Q11.3_Last Click,5,172.961
Q11.3_Page Submit,5,174.957
Q12.1,5,B. Higher invertebrate abundance
Q12.2,5,https://www.conservationevidence.com/actions/2071
Q12.3_Click Count,5,
Q12.3_First Click,5,
Q12.3_Last Click,5,
Q12.3_Page Submit,5,
Q13.1,5,C. More than 90% survival rate
Q13.2,5,https://www.conservationevidence.com/actions/1818
Q13.3_Click Count,5,5
Q13.3_First Click,5,6.099
Q13.3_Last Click,5,299.363
Q13.3_Page Submit,5,300.059
Q14.1,5,C. Adopt a fallowing period of at least 16 weeks
Q14.2,5,https://www.conservationevidence.com/actions/1026
Q14.3_Click Count,5,4
Q14.3_First Click,5,283.2
Q14.3_Last Click,5,316.443
Q14.3_Page Submit,5,317.355
Q15.1,5,A. Monitoring parasitism rates to inform spraying decisions
Q15.2,5,https://www.conservationevidence.com/actions/726
Q15.3_Click Count,5,10
Q15.3_First Click,5,2.93
Q15.3_Last Click,5,899.963
Q15.3_Page Submit,5,901.857
Q16.1,5,B. Older plots have more birds and bird species
Q16.2,5,https://www.conservationevidence.com/actions/1416
Q16.3_Click Count,5,
Q16.3_First Click,5,
Q16.3_Last Click,5,
Q16.3_Page Submit,5,
Q17.1,5,B. It may reduce water runoff and increase water storage
Q17.2,5,https://www.conservationevidence.com/actions/907
Q17.3_Click Count,5,3
Q17.3_First Click,5,125.782
Q17.3_Last Click,5,214.256
Q17.3_Page Submit,5,218.219
Q18.1,5,B. Its effectiveness may vary depending on the species and local conditions
Q18.2,5,https://www.conservationevidence.com/actions/1519
Q18.3_Click Count,5,4
Q18.3_First Click,5,103.499
Q18.3_Last Click,5,145.959
Q18.3_Page Submit,5,146.718
Q19.1,5,"A. Mixed effects on density and height, with reduced survival"
Q19.2,5,https://www.conservationevidence.com/actions/3352
Q19.3_Click Count,5,4
Q19.3_First Click,5,319.462
Q19.3_Last Click,5,325.237
Q19.3_Page Submit,5,327.203
Q20.1,5,A. Stopping spraying and mowing increases northern pearl crescent abundance
Q20.2,5,https://www.conservationevidence.com/actions/3855
Q20.3_Click Count,5,3
Q20.3_First Click,5,292.93
Q20.3_Last Click,5,363.325
Q20.3_Page Submit,5,364.415
Q21.1,5,B. Flower patches may not increase bee populations in the wider landscape
Q21.2,5,https://www.conservationevidence.com/actions/17#
Q21.3_Click Count,5,6
Q21.3_First Click,5,306.644
Q21.3_Last Click,5,674.988
Q21.3_Page Submit,5,676.016
Q22.1,5,D. The impacts of group-selection harvesting vary depending on specific forest characteristics and study locations
Q22.2,5,https://www.conservationevidence.com/actions/1224
Q22.3_Click Count,5,10
Q22.3_First Click,5,1.858
Q22.3_Last Click,5,456.978
Q22.3_Page Submit,5,457.674
Q23.1,5,A. Higher concentrations and higher temperatures
Q23.2,5,https://www.conservationevidence.com/actions/1118
Q23.3_Click Count,5,7
Q23.3_First Click,5,11.074
Q23.3_Last Click,5,547.798
Q23.3_Page Submit,5,548.58
Q24.1,5,C. Variable responses of different herb species
Q24.2,5,https://www.conservationevidence.com/actions/1779
Q24.3_Click Count,5,4
Q24.3_First Click,5,295.404
Q24.3_Last Click,5,303.462
Q24.3_Page Submit,5,305.578
Q25.1,5,A. Possible decrease in survival for some shark species
Q25.2,5,https://www.conservationevidence.com/actions/2699
Q25.3_Click Count,5,3
Q25.3_First Click,5,247.367
Q25.3_Last Click,5,252.679
Q25.3_Page Submit,5,255.225
Q26.1,5,B. It either reduces or does not alter the density of sown forb species
Q26.2,5,https://www.conservationevidence.com/actions/3433
Q26.3_Click Count,5,4
Q26.3_First Click,5,35.716
Q26.3_Last Click,5,42.499
Q26.3_Page Submit,5,43.249
Q27.1,5,D. Increased plant diversity and species richness
Q27.2,5,https://www.conservationevidence.com/actions/594#
Q27.3_Click Count,5,3
Q27.3_First Click,5,741.099
Q27.3_Last Click,5,811.621
Q27.3_Page Submit,5,813.455
Q28.1,5,D. Increasing both electrical pulse duration and voltage
Q28.2,5,https://www.conservationevidence.com/actions/1074
Q28.3_Click Count,5,4
Q28.3_First Click,5,85.632
Q28.3_Last Click,5,93.415
Q28.3_Page Submit,5,94.146
Q29.1,5,C. Mackerel
Q29.2,5,https://www.conservationevidence.com/actions/3612
Q29.3_Click Count,5,3
Q29.3_First Click,5,202.683
Q29.3_Last Click,5,367.292
Q29.3_Page Submit,5,369.331
Q30.1,5,D. Variably effective depending on the species of cleaner wrasse
Q30.2,5,https://www.conservationevidence.com/actions/738
Q30.3_Click Count,5,7
Q30.3_First Click,5,3.405
Q30.3_Last Click,5,133.22
Q30.3_Page Submit,5,135.539
Q31.1,5,"A. Unknown effectiveness, with mixed results across studies"
Q31.2,5,https://www.conservationevidence.com/actions/1524
Q31.3_Click Count,5,6
Q31.3_First Click,5,4.527
Q31.3_Last Click,5,108.643
Q31.3_Page Submit,5,109.583
Q32.1,5,B. Leaving the headlands unfertilized
Q32.2,5,https://www.conservationevidence.com/actions/652
Q32.3_Click Count,5,2
Q32.3_First Click,5,847.752
Q32.3_Last Click,5,850.297
Q32.3_Page Submit,5,852.004
Q33.1,5,A. Increased understory biomass
Q33.2,5,https://www.conservationevidence.com/actions/1207
Q33.3_Click Count,5,3
Q33.3_First Click,5,73.744
Q33.3_Last Click,5,84.009
Q33.3_Page Submit,5,86.218
Q34.1,5,D. Creation of corridors for reptile movement and habitat connectivity
Q34.2,5,https://www.conservationevidence.com/actions/3586
Q34.3_Click Count,5,3
Q34.3_First Click,5,171.33
Q34.3_Last Click,5,172.429
Q34.3_Page Submit,5,174.929
Q35.1,5,A. Using shielded 'full cut-off' lights with blinds
Q35.2,5,https://www.conservationevidence.com/actions/3904
Q35.3_Click Count,5,10
Q35.3_First Click,5,423.934
Q35.3_Last Click,5,430.959
Q35.3_Page Submit,5,431.526
Q36.1,5,A. Guaranteed waste consumption by all bivalve species
Q36.2,5,https://www.conservationevidence.com/actions/932
Q36.3_Click Count,5,4
Q36.3_First Click,5,244.154
Q36.3_Last Click,5,420.834
Q36.3_Page Submit,5,423.589
Q37.1,5,D. Increase in Sphagnum moss cover
Q37.2,5,https://www.conservationevidence.com/actions/1779
Q37.3_Click Count,5,6
Q37.3_First Click,5,3.515
Q37.3_Last Click,5,103.474
Q37.3_Page Submit,5,104.056
Q38.1,5,C. Increased survival rates of released individuals
Q38.2,5,https://www.conservationevidence.com/actions/2924
Q38.3_Click Count,5,3
Q38.3_First Click,5,202.483
Q38.3_Last Click,5,207.04
Q38.3_Page Submit,5,209.754
Q39.1,5,D. Increase in shrub abundance or cover
Q39.2,5,https://www.conservationevidence.com/actions/1607
Q39.3_Click Count,5,
Q39.3_First Click,5,
Q39.3_Last Click,5,
Q39.3_Page Submit,5,
Q4.1,5,B. Completely excluding off-road vehicles and livestock grazing using fencing
Q4.2,5,https://www.conservationevidence.com/actions/3498
Q4.3_Click Count,5,10
Q4.3_First Click,5,8.004
Q4.3_Last Click,5,213.5
Q4.3_Page Submit,5,214.139
Q40.1,5,B. Reduced basal area of trees
Q40.2,5,https://www.conservationevidence.com/actions/1722
Q40.3_Click Count,5,3
Q40.3_First Click,5,1858.027
Q40.3_Last Click,5,1872.209
Q40.3_Page Submit,5,1872.831
Q41.1,5,B. Increased combined macroalgae and invertebrate species diversity
Q41.2,5,https://www.conservationevidence.com/actions/3448
Q41.3_Click Count,5,5
Q41.3_First Click,5,178.322
Q41.3_Last Click,5,193.946
Q41.3_Page Submit,5,196.096
Q42.1,5,A. Increased activity levels and tool use
Q42.2,5,https://www.conservationevidence.com/actions/1320
Q42.3_Click Count,5,5
Q42.3_First Click,5,82.428
Q42.3_Last Click,5,108.964
Q42.3_Page Submit,5,109.495
Q43.1,5,B. Increased weed abundance
Q43.2,5,https://www.conservationevidence.com/actions/1399
Q43.3_Click Count,5,3
Q43.3_First Click,5,721.452
Q43.3_Last Click,5,724.772
Q43.3_Page Submit,5,726.361
Q44.1,5,"C. The effectiveness of traditional orchards for bird conservation is currently unknown, with limited evidence showing no clear benefits"
Q44.2,5,https://www.conservationevidence.com/actions/240
Q44.3_Click Count,5,5
Q44.3_First Click,5,8.152
Q44.3_Last Click,5,197
Q44.3_Page Submit,5,197.882
Q45.1,5,C. Planting patches of native flowering plants within orchards
Q45.2,5,https://www.conservationevidence.com/actions/17
Q45.3_Click Count,5,4
Q45.3_First Click,5,242.937
Q45.3_Last Click,5,253.289
Q45.3_Page Submit,5,254.142
Q46.1,5,A. Retaining forested corridors with emphasis on their edge habitats
Q46.2,5,https://www.conservationevidence.com/actions/996
Q46.3_Click Count,5,4
Q46.3_First Click,5,550.757
Q46.3_Last Click,5,897.604
Q46.3_Page Submit,5,899.766
Q47.1,5,C. The devices were ineffective in deterring any of the studied species from roads
Q47.2,5,https://www.conservationevidence.com/actions/2606
Q47.3_Click Count,5,5
Q47.3_First Click,5,161.139
Q47.3_Last Click,5,198.626
Q47.3_Page Submit,5,203.657
Q48.1,5,B. Enhancing physical barriers around bomas
Q48.2,5,https://www.conservationevidence.com/data/index?pp=100&synopsis_id%5B%5D=36&terms=human-wildlife+conflict&country%5B%5D=&result_type=interventions&sort=relevance.desc#searchcontainer
Q48.3_Click Count,5,4
Q48.3_First Click,5,12.968
Q48.3_Last Click,5,1154.127
Q48.3_Page Submit,5,1156.175
Q5.1,5,D. Increased mobile invertebrate abundance on structure surfaces
Q5.2,5,https://www.conservationevidence.com/actions/3468
Q5.3_Click Count,5,4
Q5.3_First Click,5,127.235
Q5.3_Last Click,5,134.451
Q5.3_Page Submit,5,135.582
Q6.1,5,B. Colonization by macroalgae and limpets
Q6.2,5,https://www.conservationevidence.com/actions/3435
Q6.3_Click Count,5,
Q6.3_First Click,5,
Q6.3_Last Click,5,
Q6.3_Page Submit,5,
Q7.1,5,A. Higher plant species richness
Q7.2,5,https://www.conservationevidence.com/actions/3400
Q7.3_Click Count,5,4
Q7.3_First Click,5,86.012
Q7.3_Last Click,5,93.531
Q7.3_Page Submit,5,112.976
Q8.1,5,B. Maintain the vegetation as scrub
Q8.2,5,https://www.conservationevidence.com/actions/31
Q8.3_Click Count,5,5
Q8.3_First Click,5,64.274
Q8.3_Last Click,5,201.527
Q8.3_Page Submit,5,204.107
Q9.1,5,D. Increased plant species richness
Q9.2,5,https://www.conservationevidence.com/actions/3027
Q9.3_Click Count,5,3
Q9.3_First Click,5,277.19
Q9.3_Last Click,5,278.302
Q9.3_Page Submit,5,280.418
Q10.1,6,D. Increasing mesh size in multiple types of fishing gear
Q10.2,6,https://www.conservationevidence.com/actions/2697
Q10.3_Click Count,6,2
Q10.3_First Click,6,245.56
Q10.3_Last Click,6,253.579
Q10.3_Page Submit,6,255.352
Q11.1,6,A. Reduced catch of non-commercial invertebrates
Q11.2,6,https://www.conservationevidence.com/actions/2131
Q11.3_Click Count,6,3
Q11.3_First Click,6,9.788
Q11.3_Last Click,6,78.565
Q11.3_Page Submit,6,80.325
Q12.1,6,B. Higher invertebrate abundance
Q12.2,6,https://www.conservationevidence.com/actions/2071
Q12.3_Click Count,6,3
Q12.3_First Click,6,143.571
Q12.3_Last Click,6,148.347
Q12.3_Page Submit,6,149.764
Q13.1,6,C. More than 90% survival rate
Q13.2,6,https://www.conservationevidence.com/actions/1818
Q13.3_Click Count,6,2
Q13.3_First Click,6,144.101
Q13.3_Last Click,6,148.44
Q13.3_Page Submit,6,149.995
Q14.1,6,C. Adopt a fallowing period of at least 16 weeks
Q14.2,6,https://www.conservationevidence.com/actions/1026
Q14.3_Click Count,6,2
Q14.3_First Click,6,507.921
Q14.3_Last Click,6,524.194
Q14.3_Page Submit,6,526.137
Q15.1,6,A. Monitoring parasitism rates to inform spraying decisions
Q15.2,6,https://www.conservationevidence.com/actions/726
Q15.3_Click Count,6,2
Q15.3_First Click,6,1053.308
Q15.3_Last Click,6,1054.17
Q15.3_Page Submit,6,1056.076
Q16.1,6,B. Older plots have more birds and bird species
Q16.2,6,https://www.conservationevidence.com/actions/1416
Q16.3_Click Count,6,2
Q16.3_First Click,6,189.719
Q16.3_Last Click,6,259.857
Q16.3_Page Submit,6,261.223
Q17.1,6,B. It may reduce water runoff and increase water storage
Q17.2,6,https://www.conservationevidence.com/actions/907
Q17.3_Click Count,6,2
Q17.3_First Click,6,343.505
Q17.3_Last Click,6,351.074
Q17.3_Page Submit,6,352.897
Q18.1,6,B. Its effectiveness may vary depending on the species and local conditions
Q18.2,6,https://www.conservationevidence.com/actions/1519
Q18.3_Click Count,6,2
Q18.3_First Click,6,90.521
Q18.3_Last Click,6,91.382
Q18.3_Page Submit,6,92.814
Q19.1,6,"A. Mixed effects on density and height, with reduced survival"
